id,name,area,distance,drive_time,difficulty,scenery,plants,hiking_distance,road_condition
29,东阳坪,崇州,50km,1h 30min,★★,大雾、钻树林、原始丛林,杉树,10km,土路
30,法藏寺,彭州,50km,1h 30min,★,法藏寺、青观、竹林、溪水、耍水,竹林、螃蟹,7km,土路、水泥路
31,柳烧岩,彭州,50km,1h 30min,★★,钻树林、俯瞰全景、白果,白果、竹林,10km,野路
32,周家山,崇州,50km,1h 30min,★★★,山羊、原始丛林、山水墨画,野生猕猴桃、螃蟹,10km,野路
33,牛角寨大佛,眉山,50km,1h 30min,★,大佛、酸枣、大雾,杨树、橘子、酸枣、晚柿、柿子,8km,石梯、土路
34,周家山,崇州,50km,1h 30min,★★★,大雾、山脊线独行,大棘、猕猴,8km,土路
35,西南界碑峨眉,中江,50km,1h 30min,★,龙庙界碑群、长岭桥、盘龙岭、徐氏宗祠、明清建筑,杨树,7km,土路、土路
36,雾中山,大邑,50km,1h 30min,★,开化寺、大雾、云海,杨树,6km,石梯、土路
37,白鹿顶,彭州,50km,1h 30min,★★,杉树、山水墨画、黄连,刺莓、黄连、杉树,11km,野路
38,黑虎岗,崇州,50km,1h 30min,★★,桃花、李花、园通古寺、河边耍水,橘子、李子,9km,野路
39,琉璃坝2,大邑,50km,1h 30min,★★,杉树、暮光森林、看腊梅,杉树,10km,土路
40,中坝森林小鱼洞环线,彭州,50km,1h 30min,★★,杉树、暮光森林、山水画廊,杉树、灵芝、竹林、刺荆儿,8km,水泥路
41,琉璃坝3,大邑,50km,1h 30min,★★,杉树、暮光森林、看雪、赤猪饭,杉树,10km,土路
42,金堂老牛坡,金堂,50km,1h 30min,★,山脊行走、象限之乡、白酒领路,火棘、青冈果,7km,土路
43,丹景山,简阳,50km,1h 30min,★,山脊行走、三龙湖、丹景山,火棘、青冈果、橘子、李子,9km,石梯、土路
44,三元场,大邑,50km,1h 30min,★,乌梅花、烤乌梅、山水墨画、马,乌梅,8km,土路
45,燕子沟,崇州,50km,1h 30min,★★,冰瀑、溪水、铁索桥、露水,百合、木兰花,12km,野路
46,钟家山百工堰环线,龙泉驿,50km,1h 30min,★,百工堰、梯田、逃离龙泉驿,枇杷、橘子,10km,栈道、土路
47,鹤鸣山,大邑,50km,1h 30min,★,天宫洞、睡佛谷、梅花、奇石、攀岩,梅子、酸藤、野草,9.5km,土路、水泥路
48,云中堡,大邑,50km,1h 30min,★★★,云海观景台、原始森林,松树、杜鹃,8km,野路+水泥路
49,斗胆山,都江堰,50km,1h 30min,★★,古蜀道遗迹、溪水瀑布、原始森林、暮光森林、避暑圣地,杉树、杜鹃、松柏,9km,野路+木栈道
50,药师岩,大邑,50km,1h 30min,★,摩崖石刻、古寺、溶洞、绿色溪水、看耍水,竹林、折耳根,8.5km,土路、石梯
51,大明寺,崇州,50km,1h 30min,★★,唐代古刹大明寺、竹林秘境、山脊观景,古银杏、竹林,9km,土路、水泥路
52,天台山,崇州,50km,1h 30min,★,读书台道观、观鸟台、古蜀道遗迹,油壁花、杉树、山猪,6km,土路、水泥路
53,云华山,都江堰,50km,1h 30min,★★★,云海观景台、庙子坪大桥、日出景观,杉树、杜鹃、竹林、松树、刺荆,9km,野路+木栈道
54,天铜林场,德阳什邡,50km,1h 30min,★★★,原始森林、天鹅湖、林间小溪、观鸟营地,冷杉、杜鹃、蕨类、野莓、松果,11km,土路
55,龙池森林公园,都江堰,50km,1h 30min,★★★,龙池湖、原始森林、高原绝地、巨型石稀,杉树、杜鹃、蕨类、野莓、松果,14km,水泥路+土路
56,神瀑沟药仙谷,彭州,50km,1h 30min,★★,瀑布群、溪水耍水、玻璃栈道、箭竹、泰安碑,松树、冷杉、竹林、高山杜鹃、红枫,10km,野路+铁索桥
57,狮子山大环线,都江堰,50km,1h 30min,★★★,山脊线独行、观景台俯览彭州、狮子壁垒、捡极石,杉树、蒲公英、刺荆、野猪,12KM,野路+回归
58,赵公山,都江堰,50km,1h 30min,★★★★,财神庙、岷江遗迹、高山草甸、观景避暑圣地,松柏、冷杉、杜鹃、高山兰,6km,木栈道+野路
59,凉水井天下太平,双流,50km,1h 30min,★,古井权、铁松坡、凉水溪流、田园风光,枇杷、桃子、李子、杨梅、青冈果,13KM,土路+田园
60,白石河谷,大邑,50km,1h 30min,★★,白色石灰岩峡谷、激流险滩、河谷步道、原始丛林,巨型杨树、杉木、未知洞穴动物,6km,水泥+河滩
61,石牛角,彭州,50km,1h 30min,★★,钻树林、看溶洞、五龙洞、攀岩、钻树林,竹林、黄连、珙桐、野猪、原始森林,8km,土路+野路
62,石梯沟,龙泉驿区,50km,1h 30min,★,樱桃、桃子、山间徒步、农家院落,枇杷、枇杷、刺莓、桃子、杨梅,6km,土路
63,李家沟,大邑,50km,1h 30min,★★,山水画廊、摩崖石刻、古寺、千年杉树、绿野仙踪,青梅、李子、桑葚、螃蟹,7km,土路+水泥路
64,阳平农观,彭州,50km,1h 30min,★,竹林秘境、遗迹道观、雨中徒步、哎哟喂徒步,“竹笋、青苔、松鼠”,5km,石梯路+水泥路
65,琉璃坝,大邑,50km,1h 30min,★★,杉树林、梵谷营地、夏日避暑钻木、暮光森林,竹林、螃蟹、杉树,8km,土路+林间小路
66,诺水河溶洞,巴中,50km,1h 30min,★★,溶洞景观、地下河奇异、钟乳石景观、推荐避暑景区,蝙蝠、蕨类、阴生植物,4km,栈道+洞内步道
67,水晶瀑布,大邑,50km,1h 30min,★★,瀑布飞泻、彩虹拍摄、凉水清凉、林间避暑,杉树、冷杉、螃蟹,4km,土路+河滩
68,小飞水瀑布,大邑,50km,1h 30min,★★,瀑布景观、浅滩喷水、林间步道,杉树、青蛙、水蕨,4km,水泥路+河滩
69,小飞水瀑布顶,大邑,50km,1h 30min,★★★,瀑布顶部观景、叠落山脊、云雾缭绕,竹林、野莓、野果,5km,土路+水泥路
70,九峰山,彭州,50km,1h 30min,★★★★★,云海日出、高山草甸、金顶景观,高山杜鹃、松树、野生羊,16km,野路+碎石板
71,水磨溪瀑布,大邑,50km,1h 30min,★★★★,多级瀑布、深潭景观、原始峡谷,冷杉、竹笋、野生猕猴桃,17km,野路+溪谷
72,铁瓦殿,彭州,50km,1h 30min,★★★★★,山顶草甸、云海奇观、360°观景、美若天堂,高山杜鹃、松柏、野兔,18km,陡峭野路
73,金牛古道,广元,50km,1h 30min,★,古栈道遗迹、千年柏树、历史时刻、人文徒步天花板,松柏、银杏、古柏,5km,石梯+土路
74,剑门关,广元,50km,1h 30min,★★,玻璃观景台、三国古战场、鸟道、一线天、关楼、姜维神像、梁山寺壁,松柏、古银杏、山鸡,7km,石阶+栈道
75,西部草地,大邑,50km,1h 30min,★★★,流水青葱、山林环境、休闲步道,杉树、竹林、八月瓜,7km,土路+石阶
76,建川博物馆,大邑,50km,1h 30min,★,红色纪念馆、蜡像群、抗战纪念、武器馆、馆藏纪念馆,松树、草坪,6km,水泥路+步道
77,冰川湖,德阳什邡,50km,1h 30min,★★★,高山湖泊、避暑划船、冷颤、地形地貌,冷杉、杜鹃、野莓,9km,土路+环湖步道
78,斜阳村,崇州,50km,1h 30min,★,梯田风光、日落观景、农家田园,稻谷、桂花、麻藤、青花、八月瓜,9km,田埂+土路
79,鹿儿山,大邑,50km,1h 30min,★★,山脊行走、远眺雪山、秋色斑斓、八月瓜开,刺荆、杜鹃、野果、八月瓜,10km,土路+野路
80,梵谷,彭州,50km,1h 30min,★,秋色彩林、露营观星、篝火晚会、梵谷营地,杉树、银杏、野兔,6km,水泥路+草坪
81,钟家山百工堰,龙泉驿,50km,1h 30min,★,秋色景观、梯田徒步、郊野,枇杷、黄连、酸枣,10km,栈道+土路
82,牛角寨大佛,眉山仁寿,50km,1h 30min,★,草崖石刻、天下第一胸像、乐山大佛原型、多安馆、老君观景台、山脊独行,杨树、柿子、野果,8km,石阶+土路
83,车顶坪,崇州,50km,1h 30min,★★,秋景云海、杉林金黄、徒步攀爬、览秋林、梭罗巴,冷杉、红枫、芦苇,9km,土路+水泥路
84,彭祖山,眉山,50km,1h 30min,★,彭祖文化、养生步道、山水灵秀、长生洞、膳食,桂花、竹林、酸枣、野草,4km,石梯+水泥路
